component_id,name,category,purpose,repository,source_url,stars,stars_observed_at,last_update,license,license_spdx,integration_type,admission_status,admission_reason,business_fit,input_output_compatibility,reproducibility,maintenance_score,community_score,license_score,security_score,modification_cost,replaceability,final_score,status,review_notes
EXAMPLE-000,example-component,skill,示例：字段填写演示，非真实候选,https://github.com/example/example-component,https://github.com/example/example-component,0,2026-07-20T06:26:24Z,2026-01-01,MIT,MIT,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,null,null,null,null,null,null,null,null,null,null,example_only,本行为格式示例，不代表任何真实组件，未经过审查，不得引用
CAND-001,xiaohongshu-mcp,mcp_tool,Stage 2 达人采集：小红书关键词搜索/笔记详情/互动数据/用户主页公开数据读取,https://github.com/xpzouying/xiaohongshu-mcp,https://github.com/xpzouying/xiaohongshu-mcp,14714,2026-07-20T06:26:24Z,2026-06-29,无许可证,NONE,secondary_or_rejected,rejected_as_primary,No verifiable LICENSE and platform-risk findings prevent primary admission.,23,13,8,9,10,0,3,4,4,74,rejected,预研初评分95；2026-07-17正式审查：无LICENSE文件（许可证不明确不能approved）+issue区集中封号/风控反馈+发布/评论/点赞写权限；审查报告 reports/component_reviews/CAND-001-xiaohongshu-mcp.md
CAND-002,xhs-cli,cli_skill,Stage 2 备选采集：无头浏览器搜索笔记/读取帖子/浏览用户主页，自带SKILL.md，返回JSON,https://github.com/jackwener/xhs-cli,https://github.com/jackwener/xhs-cli/blob/main/SKILL.md,611,2026-07-20T06:26:24Z,2026-03-14,Apache-2.0,Apache-2.0,secondary_or_rejected,rejected_as_primary,Legacy rejected CLI; maintenance and sensitive cookie handling prevent primary admission.,20,12,6,4,5,10,5,3,4,69,rejected,预研初评分92；2026-07-17正式审查：许可证合规但维护停滞+登录失效issue集中+默认提取Chrome cookie；恢复活跃维护可重新评估；审查报告 reports/component_reviews/CAND-002-xhs-cli.md
CAND-003,xiaohongshu-skill,skill,Stage 2 方法参考：借鉴其Skill组织方式（搜索/笔记详情/用户主页封装）,https://github.com/ibreez3/xiaohongshu-skill,https://github.com/ibreez3/xiaohongshu-skill,20,2026-07-20T06:26:24Z,2026-02-01,MIT,MIT,secondary_or_rejected,rejected_as_primary,Legacy rejected candidate; low community evidence and dependency on CAND-001 prevent primary admission.,10,8,5,1,1,10,5,2,2,44,rejected,预研初评分89；2026-07-17正式审查：偏发布而非采集+完全依赖已rejected的CAND-001+创建次日停更+社区极弱；审查报告 reports/component_reviews/CAND-003-xiaohongshu-skill.md
CAND-004,browser-mcp,mcp_tool,Stage 2 兜底采集：控制本地浏览器读取小红书网页与截图，复用现有登录态,https://github.com/BrowserMCP/mcp,https://github.com/BrowserMCP/mcp,6840,2026-07-20T06:26:24Z,2025-04-24,Apache-2.0,Apache-2.0,secondary_or_rejected,rejected_as_primary,Legacy rejected candidate; bot-detection/CAPTCHA avoidance conflicts with project safety rules.,8,8,3,1,7,10,1,2,3,43,rejected,预研初评分86；2026-07-17正式审查：README明示规避bot检测与验证码→命中直接rejected规则；源码14个月停更且无法独立构建；审查报告 reports/component_reviews/CAND-004-browser-mcp.md
CAND-005,yt-dlp,cli_tool,Stage 2 视频获取（首选）：公开视频CLI下载,https://github.com/yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,178473,2026-07-20T06:26:24Z,2026-07-14,Unlicense,Unlicense,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,23,12,9,10,10,10,8,4,4,90,poc_required,2026-07-18审查：许可证Unlicense已核实（GitHub API）；178473 star、维护活跃；仅CLI调用不引入源码；POC实况：已pip安装并对图文笔记URL执行，获取失败（笔记无视频）属预期；正式approved需视频笔记POC通过
CAND-006,XHS-Downloader,cli_tool,Stage 2 视频获取（兜底）：小红书专用下载CLI,https://github.com/JoeanAmier/XHS-Downloader,https://github.com/JoeanAmier/XHS-Downloader,11978,2026-07-20T06:26:24Z,2026-07-17,GPL-3.0,GPL-3.0,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,24,12,9,10,9,7,8,3,3,85,poc_required,2026-07-18审查：GPL-3.0已核实（GitHub API）；11978 star、当日仍活跃；仅CLI调用不复制源码（GPL隔离）；分数<90不得approved；经D-0008项目总控指令授权进入POC范围作为兜底
CAND-007,VideoCaptioner,cli_tool,Stage 2 视频转写：生成transcript.txt/srt,https://github.com/WEIFENG2333/VideoCaptioner,https://github.com/WEIFENG2333/VideoCaptioner,15341,2026-07-20T06:26:24Z,2026-07-12,GPL-3.0,GPL-3.0,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,20,11,8,10,8,7,8,3,3,78,poc_required,2026-07-18审查：GPL-3.0已核实；15341 star；仅CLI调用；分数<85本应rejected，经D-0008项目总控指令授权进入POC范围（转写环节）；CLI批处理能力未完全核实，若不可用需替代方案（如faster-whisper类CLI）并重新登记
CAND-008,FFmpeg,cli_tool,Stage 2 关键帧抽取：每2秒+场景切换点低分辨率抽帧,https://github.com/FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,62140,2026-07-20T06:26:24Z,2026-07-17,LGPL-2.1/GPL-2.0视构建（GitHub API=NOASSERTION）,NOASSERTION,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,22,14,9,10,10,8,9,4,4,90,poc_required,2026-07-18审查：LGPL/GPL视构建配置，CLI调用合规；62140 star、基础设施级活跃；仅CLI调用；POC实况：本机未安装ffmpeg，关键帧步骤如实记录为阻塞
CAND-009,imageio-ffmpeg,python_package,Stage 2 FFmpeg运行时供给：为托管Python提供静态ffmpeg v7.1二进制（CLI调用）,https://github.com/imageio/imageio-ffmpeg,https://github.com/imageio/imageio-ffmpeg,296,2026-07-20T06:26:24Z,2025-01-16,BSD-2-Clause（包装层；内置ffmpeg二进制为LGPL/GPL构建，仅CLI调用隔离）,BSD-2-Clause,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,8,4,8,6,6,10,9,4,3,58,poc_required,2026-07-18审查：BSD-2-Clause已核实（GitHub API）；296 star；v0.6.0已pip安装，ffmpeg v7.1可用；无ffprobe，用ffmpeg -i解析元数据；仅CLI调用不复制源码；经D-0008项目总控指令授权进入POC范围（FFmpeg供给）
CAND-010,faster-whisper,python_package,Stage 2 本地ASR转写（VideoCaptioner CLI不可用时的已登记替代）：本地生成transcript.txt/srt,https://github.com/SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,24354,2026-07-20T06:26:24Z,2025-11-19,MIT,MIT,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,20,8,9,10,10,10,9,3,3,82,poc_required,2026-07-18审查：MIT已核实（GitHub API）；24354 star、维护活跃；纯本地推理不调用未登记第三方服务；模型权重需从HuggingFace下载（联网失败则如实记录）；D-0008授权作为VideoCaptioner替代方案
CAND-011,playwright,python_package,Stage 2 专用Chrome CDP只读连接（D-0009方向B）：connect_over_cdp连接专用user-data-dir的可见Chrome，不依赖OS窗口焦点,https://github.com/microsoft/playwright,https://github.com/microsoft/playwright,93061,2026-07-20T06:26:24Z,2026-07-17,Apache-2.0,Apache-2.0,secondary_or_rejected,superseded,Legacy operating-admission record retained; this high-star reference registry does not change its runtime status.,24,13,10,10,10,10,9,4,3,93,poc_required,2026-07-18审查：Apache-2.0已核实（GitHub API）；93061 star、当日活跃；仅connect_over_cdp连接127.0.0.1:9222专用Chrome，不下载浏览器二进制、不读默认Profile、不导出Cookie；经D-0009项目总控指令选用（96分）
CAND-012,nuwa-skill,skill_reference,方法论参考：达人表达DNA与风格蒸馏（定位methodology_reference；仅方法论参考不引入代码）,https://github.com/alchaincyf/nuwa-skill,https://github.com/alchaincyf/nuwa-skill,28282,2026-07-20T06:26:24Z,2026-07-02,MIT,MIT,primary_skill_reference,primary,"MIT license and more than 1,000 stars support a primary skill-reference designation; code is not copied.",null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：MIT已核实（GitHub API license.spdx_id）；固定commit 72857dc720f4d1dd3e68a40a544341dfc65ea33e；28282 star；仅方法论/结构参考禁止复制源码进项目；审查报告 reports/component_reviews/CAND-012-nuwa-skill.md
CAND-013,humanizer,skill_reference,改写参考：AI写作模式识别/自然化/语气校准（定位adapted_skill_reference；仅规则思路参考不引入代码）,https://github.com/blader/humanizer,https://github.com/blader/humanizer,29868,2026-07-20T06:26:24Z,2026-06-29,MIT,MIT,primary_skill_reference,primary,"MIT license and more than 1,000 stars support a primary skill-reference designation; rules are reimplemented.",null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：MIT已核实（GitHub API）；固定commit 1b48564898e999219882660237fde01bf4843a0f；29868 star；禁止复制SKILL.md原文进项目仅吸收模式识别思路；审查报告 reports/component_reviews/CAND-013-humanizer.md
CAND-014,Humanizer-zh,skill_reference,规则参考：中文文本AI痕迹消除与自然化规则（定位chinese_rule_reference；仅规则思路参考不引入代码）,https://github.com/op7418/Humanizer-zh,https://github.com/op7418/Humanizer-zh,13445,2026-07-20T06:26:24Z,2026-01-19,MIT,MIT,primary_skill_reference,primary,"MIT license and more than 1,000 stars support a primary skill-reference designation; Chinese rules are reimplemented.",null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：MIT已核实（GitHub API核验通过）；固定commit 91f3d394db8419c20d67ebe22a96cf8fee0a404b；13445 star；最近推送2026-01-19维护活跃度一般；禁止复制规则原文仅自研中文自然化规则时参考；审查报告 reports/component_reviews/CAND-014-Humanizer-zh.md
CAND-015,ai-video-storyboard-skill,skill_reference,结构参考：镜头表/叙事弧/视听与后期字段设计（定位adapted_skill_reference；仅字段结构参考不引入代码）,https://github.com/aicontentskills/ai-video-storyboard-skill,https://github.com/aicontentskills/ai-video-storyboard-skill,26,2026-07-20T06:26:24Z,2026-04-09,无LICENSE文件（声称MIT未通过核验）,NONE,secondary_or_rejected,demoted,Demoted: only 26 stars and no verifiable LICENSE; historical review is retained for traceability.,null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：GitHub API license=null且/license端点404即仓库无LICENSE文件声称MIT无法核验按无许可证处理；固定commit 93f8a6d6935858bc4acd7ff3bbea2411edf88caa；仅26 star；无许可证下更需严格限定为结构参考禁止任何原文复制；审查报告 reports/component_reviews/CAND-015-ai-video-storyboard-skill.md
CAND-016,video-script-developer-gist,gist_reference,结构参考：Hook—Story—Landing短视频脚本结构（定位structure_reference_only；仅结构思路参考）,https://gist.github.com/alexknowshtml/6a1e4d336a6d51c6231bd6bd9a3f0d17,https://gist.github.com/alexknowshtml/6a1e4d336a6d51c6231bd6bd9a3f0d17,null,2026-07-20T06:26:24Z,2026-02-17,无许可证（GitHub Gist无许可证机制按默认保留所有权利处理）,NONE,secondary_or_rejected,demoted,Demoted: a Gist has no ordinary repository-star basis and no explicit LICENSE; historical review is retained.,null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：经GitHub Gists API核实gist id 6a1e4d336a6d51c6231bd6bd9a3f0d17更新于2026-02-17T00:40:03Z；Gist无LICENSE仅作结构参考禁止复制原文；审查报告 reports/component_reviews/CAND-016-video-script-developer-gist.md
CAND-017,langgraph,framework_reference,编排参考：Agent状态编排/失败回退/Human-in-the-loop机制参考（定位orchestration_framework；仅方法论与API思路参考）,https://github.com/langchain-ai/langgraph,https://github.com/langchain-ai/langgraph,37596,2026-07-20T06:26:24Z,2026-07-19,MIT,MIT,primary_framework_reference,primary,"MIT license and more than 1,000 stars support a primary framework-reference designation; no runtime dependency is introduced.",null,null,null,null,null,null,null,null,null,null,reference_only,2026-07-19审查：MIT已核实（GitHub API）；固定commit 49ae27c2ae983cfb92091b0dea9f7bc37a716479；37596 star当日活跃；是否作为运行时依赖引入需另行执行组件评审当前仅登记为参考；审查报告 reports/component_reviews/CAND-017-langgraph.md
CAND-018,anthropics-skills,skill_reference,Skill directory and progressive-loading organization reference,https://github.com/anthropics/skills,https://github.com/anthropics/skills,162792,2026-07-20T06:26:24Z,2026-07-17,No verifiable LICENSE file,NONE,secondary_or_rejected,rejected_as_primary,"No LICENSE file and API SPDX NONE: it cannot be primary; only public directory organization may be observed, with no SKILL.md or repository content copied.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit fa0fa64bdc967915dc8399e803be67759e1e62b8; review report reports/component_reviews/CAND-018-anthropics-skills.md
CAND-019,playwright-high-star-reference,framework_reference,"Browser automation, CDP connection, visible-browser control, and state recovery reference",https://github.com/microsoft/playwright,https://github.com/microsoft/playwright,93132,2026-07-20T06:26:24Z,2026-07-19,Apache-2.0,Apache-2.0,primary_framework_reference,primary,"Apache-2.0 and more than 1,000 stars; separate from CAND-011 Stage 2 POC. No CAPTCHA bypass, stealth, proxy rotation, automatic interaction, or default-profile access.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit ef3a5830f960c00018f810cebf26133b35ec2b6f; review report reports/component_reviews/CAND-019-playwright.md
CAND-020,browser-use,framework_reference,"Browser-agent architecture, state management, task recovery, and human intervention reference",https://github.com/browser-use/browser-use,https://github.com/browser-use/browser-use,105620,2026-07-20T06:26:24Z,2026-07-17,MIT,MIT,primary_framework_reference,primary,"MIT and more than 1,000 stars; reference only. No stealth, CAPTCHA bypass, risk-control evasion, or unauthorized account operation.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit 950eb03617e67548d759c02beac1ad122c6b6458; review report reports/component_reviews/CAND-020-browser-use.md
CAND-021,video-use,skill_reference,"Video transcription first, targeted visual inspection, timeline, and post-execution self-check reference",https://github.com/browser-use/video-use,https://github.com/browser-use/video-use,17289,2026-07-20T06:26:24Z,2026-07-01,MIT,MIT,primary_skill_reference,primary,"MIT and more than 1,000 stars support a primary skill reference; repository content is not copied.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit 92c2b34e44c205cbc2acae7f6ca7c1c219d5dd66; review report reports/component_reviews/CAND-021-video-use.md
CAND-022,MoneyPrinterTurbo,framework_reference,"Topic-to-script, subtitle, asset, voice, parameter, and short-video workflow reference",https://github.com/harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,98206,2026-07-20T06:26:24Z,2026-07-18,MIT,MIT,primary_framework_reference,primary,"MIT and more than 1,000 stars; reference only, never copied wholesale or used as this project’s production replacement.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit d5f31da9a2eb63c96addd66e17e5b8042ed010d4; review report reports/component_reviews/CAND-022-moneyprinter-turbo.md
CAND-023,FFmpeg-high-star-reference,cli_reference,"Video metadata, frame extraction, scene detection, audio extraction, and output validation reference",https://github.com/FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,62210,2026-07-20T06:26:24Z,2026-07-20,GPL/LGPL depends on build configuration,NOASSERTION,cli_runtime_reference,primary,"CLI/subprocess only; no FFmpeg source is copied. GPL/LGPL obligations depend on the actual build, whose configuration must be recorded before use. Separate from CAND-008 Stage 2 POC.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit c23123630e6a7e645c199599b8ade3fe7e9ab3db; review report reports/component_reviews/CAND-023-ffmpeg.md
CAND-024,promptfoo,framework_reference,"Skill eval, LLM output comparison, compliance counterexamples, and regression evaluation reference",https://github.com/promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,23423,2026-07-20T06:26:24Z,2026-07-20,MIT,MIT,primary_framework_reference,primary,"MIT and more than 1,000 stars support a primary evaluation-framework reference; no dependency is introduced.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit 5469ee52d2ea5387dfe62c080698c0e2e2b9b6af; review report reports/component_reviews/CAND-024-promptfoo.md
CAND-025,guardrails,framework_reference,"Structured output, validator patterns, failure handling, and compliance-review architecture reference",https://github.com/guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails,7181,2026-07-20T06:26:24Z,2026-07-17,Apache-2.0,Apache-2.0,primary_framework_reference,primary,"Apache-2.0 and more than 1,000 stars support a primary framework reference; only validator design is considered, not unrelated heavy dependencies.",null,null,null,null,null,null,null,null,null,null,reference_only,GitHub API verified at 2026-07-20T06:26:24Z; fixed commit 1f1e5af5067bab8a6638ca06a2bbe4d063db634a; review report reports/component_reviews/CAND-025-guardrails.md
